test_example_id,story,predicted_gender
0,קיץ אני והמשפחה נוסעים לארצות הברית לוס אנגלס קליפורניה בכדי לבקר המשפחה אמא שלי שגרה תמיד עושה טוב ללכת לראות משפחה שהתגעגענו אליהם ושלא ראינו למשך השנה באחת השנים אני ובן דוד שלי החלטנו שאנחנו רוצים ללכת יחד לדיסנילנד היה מאוד מרגש מעולם הייתי לפני וזה אפילו יותר מרגש שזכיתי ללכת לשם איתו קמנו מוקדם בבוקר כדי שנוכל לנצל כמה שיותר מהיום שלנו שבע בבוקר כבר היית השקמה הוא מחכה מחוץ לבית ואני צריכה לצאת אליו הנסיעה לשם הייתה כשעה וכל הדרך לשם שמנו מוזיקה ונהנו מהיום היפה שהתחיל ולא ידענו למה אני מצפה כאשר הגענו לשם כבר בשמונה וחצי היה תור כדי להכנס הרכבים אבל ידענו שזה יהיה שווה משנה כשסוף סוף נכנסנו המראה היה מרהיב חלק וחלק מהספסלים ועד החנויות הקטנות היה מורכב ומבוים בקפידה פלאית ידענו כבר מההתחלה שאנחנו מתכוונים לעלות כמה שיותר הרכבות הרים ושאנחנו הולכים לנסות דבר שרק אפשר ואכן עמדנו במשימה נדהמתי לגלות שבדיסנילנד אין רכבות הרים ודברים יפים אלא מסעדות בעלות עולמי וכן מאפיות מאוד איכותיות לקראת הערב ישבנו באחת המסעדות בפארק ונהנו מארוחה מפנקת כשהערב כבר יורד והשמש שוב יורדת מצעד דמויות שנוצצות ומלאות באורות ושירה וריקוד הדמויות המוכרות באז שנות אור צעצוע סיפור לילו וסטיץ ועוד ממש בסוף היום אפשר להנות ממופע המים ומזיקוקים בכל מיני צורות וצבעים בשמיים לקראת השעה אחת עשרה בלילה השערים מתחילים להסגר וכולם חוזרים הביתה אחרי יום ארוך מספק דוד שלי לקח אותי הביתה והנסיעה חזרה הייתה הרבה יותר רגוע ושקטה למרות שזה קרה ממש לפני מספר דקות יכולנו להפסיק לדבר שהרגע קרה ועל היום המדהים שהרגע עברנו ושנזכור לעוד הרבה מאוד שנים קשה מאוד לסכם יום כזה מלא בחוויות והרפתקאות חדשות שחוויתי באמת זכיתי ליום מיוחד כזה והלוואי ביום מין הימים יגיעו לפתוח דיסנילנד בארץ ישראל,m
1,"הגעתי לשירות המדינה אחרי שנתיים כפעיל בתנועת ""ישראל שנתיים שהיו מלאות בעשייה אזרחית ומאבקים בישראל עושים עבודה מדהימה וליטרלי מצילים המדינהבשלב מסוים הרגשתי שקצת מיציתי העשייה מבחוץ הרבה ""לדבר על"" ולא ""לעשות את"" באחד הסמינרים הארגון הגיע רועי דרור ממשרד רוה""מ להרצות אחרי ההרצאה שלו החלטתי אני רוצה להתמחות אצלו פניתי אליו בעזרת אחראית התעסוקה אצלנו במכללה והוא הסכים החוויה להיות מתמחה במשרד ממשלתי הייתה מורכבת מצד אחד אתה עובד בשכר ואתה נמצא הרבה פחות מהאנשים שעובדים בשביל שתוכל לומר משהו חכם מצד שני החשיפה למנגנונים לאנשים ולאופן שבו הדברים נעשים הייתה ממש חשובה ובנתה כמה קומות שבאו לידי ביטוי אח""כ רועי נתן נושא ספציפי אחד להתעסק ושלח אותי לדבר אנשים מהתחום ולנסות לגבש המלצות כאן מגיעה ההמלצה הראשונה שלי לסטודנטים בשירות המדינה תבקשו נושא אחד שתתעמקו ותתמחו תנסו להתפרש יותר מדי תלכו לאיבוד כשאתה מומחה ומבין במשהו מקשיבים יותר הביטחון העצמי עולה ואתם מרוויחים משהו שתוכלו לקחת הלאה לתפקידים הבאים אחרי שנה כמתמחה החלטתי לגשת למכרזים לתפקיד סטודנט והתקבלתי לאגף אסטרטגיה ומדיניות במשרד הבינוי והשיכון אחד המשרדים שנשמעים הכי משמימים מבחוץ אבל גיליתי עולם מלא בעניין בעצם שיכון נוגע לכל נדבך ונדבך בחיים שלנו נגעתי בפערים חברתיים בתכנון עירוני בהבדלים בין אוכלוסיות בחברה הישראלית בכלכלה ומה יותר מהכל היה משמעותי הצוות שעבד איתי וכאן ההמלצה השנייה לסטודנטים בשירות המדינה תחתרו להכיר ולהתחבר לכמה שיותר אנשים אחד המפתחות המרכזיים להתקדמות בהמשך הייתי מחלק לשניים אנשים מהתחום שבו אתם רוצים להתקדם כמה שיכירו אתכם יותר יותר טוב החלק השני מקבילים אליכם השתתפתי בתכנית בשם המסלול לסטודנטים בשירות המדינה מעבר לתכנים המעניינים היא יצרה קבוצת חברים שפרוסה המון משרדי ממשלה ליצור שיתופי פעולה הרבה יותר כשאתה מכיר אנשים מהצד השני היה קשר ישיר בין התואר שלמדתי לתפקיד הסטודנט למדתי אסלאם ומזרח תיכון במרכז האקדמי שלם אבל בסופו דבר אתה מגלה שיכולות שאתה רוכש במסגרת הלימודים מתבטאות בעבודה שלך היכולת לשאול שאלות ולהטיל ספק ההבנה שהידע נמצא במקומות מגוונים ועבודה טובה היא כזו שיודעת להקשיב ההשפעה הייתה בכיוון ההפוך הלימודים שלי קיבלו תפניות בעקבות העבודה ניסיתי לחבר אותם כמה שיותר לעולם המעשי ואת אחת העבודות הסמינריוניות כתבתי עירוניות פלסטינית ששילב שני העולמותהאתגרים בשירות המדינה אינסופיים למעשה מההצלחה שלך תלויה הגדרות התפקיד ובמיוחד סטודנטים ברורות כמות הבירוקרטיה היא אינסופית וקשה מאד לשנות מערכת מורכבת וכאן ההמלצה השלישית לסטודנטים בשירות המדינה תבואו מאה אחוז מוטיבציה ואפס אחוז ציפיות פשוט אבל יחסוך לכם הרבה תסכול תזכרו תמיד שצריך לכבד המערכת שכבר נמצאת רובנו בני דור שחושבים שהם מבינים יותר מכולם בשירות המדינה הרבה אנשים ניסיון וחכמת חיים שאין לנו ובמערכת יהיו תמיד בעיות וקשיים פשוט היא מערכת כיום אני אנליסט במרכז הידע והאסטרטגיה ארגון מעוז שבונה רשת מנהיגים מהמגזר הציבורי והפרטי שפועלת בסיס אמון לחיזוק החוסן החברתיכלכלי מדינת ישראל בארבעה תחומים חינוך תעסוקה רשויות מקומיות ובריאות אני מתעסק באופן ספציפי רשויות מקומיות בסופו דבר המשך ישיר לדברים שהתעסקתי איתם במשרד הבינוי והשיכון עירוניות צמצום פערים ועוד",m
2,אחת האהבות הגדולות שלי אלו הכלבים שלי ושל אישתי למי שיש כלבים מבין ויודע שהם ממש כמו ילדים בשנה האחרונה חווינו אני ואישתי חווייה נעימה כמעט איבדנו הכלבה שלנו באחד הערבים שישבנו בגינה והכלבים שיחקו אחד השני ועם הילדים בחצר לפתע הכלבה שלנו השתטחה הרצפה והתחילה להתגלגל הלוך וחזור הלוך וחזור והיא ממש איבדה שליטה הגוף שלה בהתחלה היה ניראה עובר עליה משהו אלא כולם צחקו חשבו שהיא משתוללת ונהנת מהמשחק לאחר כמה שניות היה ברור לכולנו עובר עליה משהו והיא נמצאת במצוקה אישתי רצה מהר להרים אותה ובלי לחשוב פעמיים אני כבר חיכיתי באוטו וישר נסענו לבית החולים לחיות תוך כדי הנסיעה הרצתי לעצמי בראש הדברים הכי נוראיים שיכולים לקרות כשהגענו לבית החולים הכלבה עדיין הייתה משותקת והתווספו עיוותים בלתי רצוניים בפנים שעורר היסטריה וחרדה עצומה למזלי אנחנו מכירים המקום וקיבלו אותנו לטיפול בשיא המהירות ואחרי כמה שעות בדיקות ותרופות היא חזרה לעצמה הרופאים אמרו לנו שככל הניראה היא סובלת ממחלת האפילפסיה אני יודע שזה יכול להישמע הזוי אבל הרגשתי כאוב לגלות שלכלבה שלי שהיא כמו ילדה בשבילי מחלה ללא פתרון מאז המקרה אנחנו חווים עולם חדש שבו פעם בשבועיים בערך הכלבה שלנו מקבלת התקף שמשאיר אותנו חסרי פעימה בכל פעם כשזה קורה החלטנו לחקור הנושא וכי היה לנו חשוב להבין מאיפה המחלה הזו הגיעה האמנו כשגילינו האנשים שמהם קנינו אותה משתמשים בכלבים שלהם מנת לייצר גורים רבים ככל האפשר והם בוחלים באמצעים גילינו שההורים שלה אחים דבר שאסור חוקי הטבע ומאחר וידוע גורם למחלות בגורים לצערי הרב אין באמת פתרון למחלה הכלבה שלנו ולא לאותם אנשים שרק כסף מניע אותם ומקדש האמצעים מהתקף להתקף אנחנו לומדים כיצד להתמודד וכיצד לעזור לכלבה המתוקה שלנו לעבור,m
3,רגע הגיוס לצבא היה הרגע הכי משמעותי עבורי אני זוכר עוד כתלמיד שקיבלתי הגיוס איך התרגשתי והייתי לחוץ מהיום הזה שיגיע האם אמצא חברים חדשים האם אצליח להתרגל למסגרת הזו שאתה רחוק מהבית ולא באיזור הנוחות שלך עלו הרבה שאלות ותהיות באותה תקופה במיוחד כשאני בתור האח הגדול מבין האחים במשפחה שמתגייס היה לשאול ועם להתייעץ ולכן אני חושב שנורא חששתי הרגע הזה הייתי בין אלו שהתגייסו ראשונים מכל החברים שלי הסתמכתי דברים שכתבו באינטרנט הצבא וכמה אנשים חרא וכמה מפקדים רעים ולכן הוסיף לכל החששות שלי מאז ומתמיד רציתי להיות לוחם ולהגשים החלום שלי למרות שהוריי היו נגד הצעד הזה הצלחתי לשכנע אותם ולהסביר להם שאני חייב תחושת הסיפוק הזו כדי לדעת דברים אחד לדעת שאני מסוגל פיזית לעמוד במסלול הכשרה כזה ושתיים שרציתי לתרום החלק שלי למדינה הזו וללכת שירות קרבי עברתי המון גיבושים ומיונים לתפקיד שלי בצבא לקחו אותנו במיונים לקורס חובלים לספינה ובמשך יומיים שלמים הפסיקו לטרטר אותנו כדי לשבור אותנו נפשית אמנם איפשרו לנו לפרוש בכל שלב נתון ולא הכריחו אותנו להישאר אבל כולנו ידענו שאלו שיישברו ויפרשו יעברו הגיבוש ויודחו מהאופציה להתגייס לחובלים נתנו לנו מלא משימות פיזיות העירו אותנו באמצע השינה לריצות וזחילות שפת הים צעקו עלינו ולא הפסיקו לזלזל כדי לגרום לכמה שיותר אנשים ללכת הביתה ידעתי שזה חלק מהמשחק ולא נשברתי לרגע המשכתי בשארית כוחותיי לעמוד בכל המשימות ולתת המקסימום לאחר יומיים גיבוש ומשימות העמידו כולנו בשורה והקריאו אלו שהמפקדים הכי התרשמו ביניהם אני הייתי בין הרשימה הזו ובעצם נודע שהתקבלתי ליחידת החובלים מסלול ההכשרה לאחר הגיוס היה קשה הוא אבל המזל שלי היה שהתחברתי כמעט לכולם והיו איתי אחלה חברה חברים שאני שומר איתם קשר היום,m
4,אני הגעתי לברזיל ישר מקולומביה וגם אני עשיתי עבודת מחקר ברזיל והחלטתי בסוף לטוס נחתתי בריו זנרו ויצרתי קשר איתמר המרכז הישראלי ברזיל והוא הסביר שהכל רגיל הכל מתוייר ואין לדאוג הקורונה היא קשה וברזיל נפתחה ממזמן לתיירים הגעתי ביום חמישי לברזיל וכבר הספקתי להסתובב בעיר הקניונים מלאים בתיירים ומקומיים המסעדות מאוד זולות והחוף מפוצץ ברזיל מדינה טרופית ולפעמים יורד גשם יורד גשם מעט דברים לעשות בריו שאפשר להתייעץ איתמר אבל בגדול עכשיו ברזיל נכנסת לעונת הקיץ נחזור שוב פעם לאיתמר התותח שלא החסיר מאיתנו פיסת מידע העיר והסביר לנו אטרקציה אפשרית ביום שישי יצאתי דרכו לסיור בעיר מושלם בריו הוא אסף כולנו ברכב הפרטי שלו אחד מההוסטל שלו לציין שבעונה הגל בברזיל לאיתמר סוכנות טיולים וסיורים עובדים מיניבוסים והוא דואג להכל התחלנו הסיור בפסל הגדול ישו Cristo Redentor שנחשב לפלא עולם ממנו אפשר לראות החופים המושלמים ריו ונוף מטורף העיר המשכנו למדרגות הכי מתוירות ופוטוגניות העיר Escadaria Selarn איתמר הסביר לנו המדרגות והמשמעות האמיתית שלהן בלי ספויילרים אפשר לראות אריחי קרמיקה מכל מדינה בעולם ויש אריחים כיתוב בעברית אחרי הלכנו למסעדה לבנונית מאוד טעימה וזולה אופציות טבעוניות וצמחוניות אישית היה חשוב אני אוכלת כשר בחול ואיתמר דאג להכל בהמשך הלכנו לקיר גרפיטי הכי גדול בעולם אפשר לעשות תמונות מגניבות והחלק הכי חשוב בסיור הוא הפבלות ברזיל ירדנו מהרכב ישר למגרש כדורגל הפאבלה שיחקנו המקומיים שכל התרגשו מהמשחק ובסוף קנינו להם שתייה וחטיפים הצטרף אלינו מדריך מקומי ראש מאפיה לשעבר שעשה לנו סיור בפאבלות והסביר לנו ההיסטוריה המקום וכמובן סיפר לנו סיפור חייו המרתק בהליכה בתוך הפאבלה תראו בצדדים המון מקומיים נשקים אין לחשוש כולם מכירים המדריך ויודעים שאנחנו בסדר הגענו בסוף למרכז הסמבה הסבירו לנו שבכל פאבלה מרכז כזה שעוזר לילדים הפאבלות להתעסק בדברים אחרים ולא להשאב לפשע ולעוני המקום סוג דרך מילוט מכל הבעיות המקום ארגנו לנו מופע מיוחד תופים רקדנית סמבה לימדה אותנו צעדים הסמבה ובהמשך עשו לנו מופע קפוארה וגם לקחנו חלק בכל הצעדים כולם קיבלו אותנו יפה וזה סיור שאסור לוותר עליו אני אישית עשיתי עכשיו האטרקציה הזאת אבל חברה שלי עשתה דרך איתמר הדאון שאסור לפספס אותו ויש עוד מליון אטרקציות בעיר שווה לדבר איתו ברזיל היא בירת הכדורגל העולמי ואנחנו נפלנו סופש משחק דרבי מטורף ואיתמר דאג לנו לכרטיסים טובים ומוזלים לאצטדיון כדורגל Maracan שלא יודע דבר בברזיל מבקשים cpf מסמך מיוחד כמו תעודת זהות שמראה שאתה תושב המקום ולא תושב חוץ ומקנה כניסה למקומות והנחות ואיתמר סידר לנו כניסה בלי בירוקרטיות מיותרות אני ישנה בהוסטל social הוא דקות הליכה מהרצועת חוף הכי יפה שיש Copacabana וליד ההוסטל במרחק הליכה כמה דקות סופרים אפשר לבשל בהוסטל מבחינת מסעדות ממול להוסטל האסאי הכי שווה שיש ויש עוד מסעדות המבורגרים ובשרים אני אישית מבחינת כשרות טעמתי אבל כולם המליצו ממש בריו חיי לילה מטורפים מסיבות מטורפות מועדונים וברים טובים הרחוב המרכזי המסיבות קוראים Lapa אנחנו אישית נעזרנו בצעירים שיושבים בקבלה בהוסטל שלנו מוכרים לנו כרטיסים מוזלים למסיבות דרך איתמר הטבות שתייה בחינם הערב וממליצים לנו המסיבות הכי טובות שיש,f
5,"בפעם האחרונה שהייתי מחוץ לארץ ישראל הייתי באפריקה תכננתי לטוס לאפריקה במשך הרבה זמן מצאתי המועד הנכון לעשות זאת בפברואר שנה שעברה מצאתי ימים ריקים ביומן שלי והחלטתי לקנות כרטיס לסגור מלון ולטוס לטייל באפריקה אחרי ההחלטה התחלתי לארוז המוצילה שלי שהייתה בארון זמן מאז הטיול הגדול למזרח אחרי הצבא ושמתי הדברים החשובים שלי כמובן שלא שכחתי אמצעי הגנה נגד מזיקים יתושים מחלות לרבות מלריה שנגדה לקחתי הכדור מלרון עוד לפני שהגעתי ליבשת הטיסה שלקחתי הייתה בשבת בבוקר ונסעתי לנמל תעופה גוריון במוניות מביתי שבתל אביב אחרי שסיימתי הצק אין והבידוק הבטחוני הגעתי למתחם הדיוטי פרי שבטרמינל ולרגע שכחתי שאני לאפריקה מדינה שבה מעט כסף ישראלי הוא המון והתחלתי לבזבז ללא הכרה קניתי בושם יוקרתי פקט סיגריות לחבר בקבוקי יין לארוסתי בקבוק וויסקי איכותי מחשש שלא אמצא כזה באפריקה ועוד שלל ממתקים ודברים שלא באמת הייתי צריך אבל התלהבתי לקנות אותם כאילו זאת הפעם הראשונה והאחרונה שאני בדיוטי פרי דבר שגוי מכיוון שהייתי מרבה לטוס לפני תקופת הקורונה לאחר שרכשתי במיטב כספי המוצרים הרגשתי רעב ולכן הלכתי למקדולנלדס ורכשתי ארוחת ביג בשעה בבוקר דבר מעט מוזר שחושבים לאחור אבל בכל זאת היה נראה הגיוני באותו הזמן שעליתי למטוס הדיילת חייכה אליי ואמרה ""יש אחלה מושב אדוני"" ובאמת היה קיבלתי מושב הרבה מקום לרגליים ביציאת החירום אולי בגלל שחייכתי לצקרית בדלפק הצק אין בגלל שהיא חשבה שאם היא תשדרג אותי אבקש ממנה הטלפון ואתחיל איתה בכל מקרה אמרתי תודה לדיילת והתיישבתי בציפייה להמריא ליעד הראשון באפריקה אדיס אבבה אתיופיה המטוס התחיל לטוס וההתרגשות הייתה בשיאה שוב הרגשתי שזאת הפעם האחרונה שאני עומד לטוס לזמן הקרוב ולא באמת הבנתי למה פתחתי הספר שלי ""לונלי"" שכבר קראתי וסיימתי אותו בדמעות וחזרתי לקרוא שוב כנראה בגלל שהספר מספר נווד ישראלי שמטייל באפריקה בלי חששות ובלי כיוון משמעותי לחיים דבר שכל שונה ממני האדם המחושב והמתוכנן שמחשב צעד וכל החלטה לאחר כמה שעות נחתנו באדיס אבבה והחלטתי לקחת טיסת המשך לאנטבה אוגנדה שוב עליתי למטוס וחייכתי לכולם במטרה להראות שישראלים מנומס ואולי לזכות בכיסא מקום לרגליים הפעם צלח והתיישבתי במקומי במעבר ליד נשים בחזות ערבית גלביות ממוצא אפריקאי אחת אימא והשנייה ילדתה האימא שאלה אותי מהו שמי והאם אני רוצה לקחת לאישה ביתה תמורת בית עדר כבשים וזהב כמובן שדבר היה מצריך אותי לעזוב ישראל לתמיד ולעבור לסומליה",m
6,בשנת קיבלתי החלטה שאני מתחיל ללמוד לתואר ראשון במדעי המחשב בשונה מרוב הסטודנטים החלטתי ללמוד כדי למצוא עבודה בהמשך אלא כדי להעשיר עצמי ולהפתח לעולמות חדשים בעולם הטכנולוגיה שכן כשהתחלתי ללמוד כבר עבדתי בענף ההייטק מספר שנים היום אחרי שנים אני יכול לומר שהמערכת האקדמאית עדיין תקועה מאחור ואיכזבה אותי מאוד מהתואר בכלל נוגע בדברים רלוונטיים לתעשייה וגם רחוקים מלהיות חדשניים ומעודכנים המבנה הלימודים והמבחנים דחקו אותי למצב שבו למדתי כדי לעבור ולא כדי ללמוד והדגש היה ציונים במקום אתגר מחשבתי והעשרת הידע אני חושב שאם האקדמיה תמציא עצמה מחדש כמו שעשו בחברת Coursera יהיה מקום בעולם החדש דור כבר יפול למלכודת התואר ולא יסכים לבזבז שנים מחייו כדי להוכיח שהוא שווה משרת Junior כלשהי בתחום כלשהו ספציפית במדעי המחשב אני מסכים שכן חשוב להבין הצד התיאורתי והמתמטי הנושא אבל הוא יכול להוות אחוז מהתוכן הלימודי כתיבת הפסקה הזאת היא דוגמא קלאסית לכמה אנחנו מבזבזים הזמן באקדמיה משימה שלא קשורה לכלום כאשר הבטחה מעורפלת שהיא תעזור לנו בהמשך ועוד מפתים אותנו לבצע אותה נקודות עלובות פשוט בדיחה וזלזול באינטלגנציה החוויה שלי מהלימודים היא מאוד מאכזבת מבחינה מקצועית מרגיש שקיבלתי כלים להתחיל ולהתמודד אפילו האתגרים שיש בחוץ אפשר לשפר אני חושב שקודם צריך לשפר התקשורת בין המרצים לסטודנטים מרגיש שהם קשובים מספיק בנוסף לכך אני חושב שכדאי להכניס תוכן קצת יותר עדכני ורלוונטי לתעשייה ולהוריד קצת מהחומר שלא רלוונטי בשום צורה הייתי שוקל להקדיש הסימסטר האחרון לסימלוץ העבודה באזרחות כלומר קורסים שמדמים עבודה שוטפת בחברת הייטק בתור מפתחמנהל מוצר וכו ספרינטים משימות הכל ככה סטודנטים יגיעו שוקיסטים לתעשייה וזהו אין כבר לכתוב דוחף עוד כמה מילים סתם כדי להגיע לשלוש מאות,m
7,בנובמבר האחרון הייתי חברים בטיול הטיול כולל הליכה ארוכה מחוף הים ועד הכנרת שלוקחת כארבעה ימים וכשבעים קילומטר במשך ההליכה היה מאוד קשה מכיוון שנאלצנו לסחוב הציוד הגב שלנו הציוד שוקל כעשרים קילוגרמים לכל אחד וכולל אוכל אוהל שינה בגדים ועוד בכל יום היינו מחוייבים להגיע לנקודת הלינה הבאה אנחנו יכולים לישון בטבע היום הראשון היה היום הכי קשה נאלצנו ללכת הליכה מאוד ארוכה ובסופה לעלות בכדי להגיע לנקודת הלינה שלנו אישית היה מאוד קשה בגלל שאני בחור ספורטיבי והליכה כלכך ארוכה משקל מאוד כבד הייתה מאוד קשה בסופה אפילו הקאתי מהמאמץ שכן בכל יום ראינו נופים מרהיבים לדוגמא ביום השני התעוררנו בהר מול מבצר מונפורט היה נוף יפייפה ולשתות קפה מול נוף שכזה היה תענוג רציני אחרי שסיימנו הטיול החלטנו להישאר יום אחד נוסף יום שבו שכרנו צימר וסוף סוף אחרי שלושה לילות ישנו מיטה חמה התנאים במסע היו קשים היה הרבה אוכל והלילות היו קפואים בלילה אחד היה כלכך שלא ישנו כמעט אחד החברים שלי ישן חולצה תרמית ומעלייה חולצה גקט ומעיל ומעל היה בשק שינה ועדיין היה אומנם המסע היה קשה אבל מאוד נהנתי צחקנו החברים המון ושמענו מוזיקה טיילנו ברחבי הארץ וכשהגענו לכנרת הייתה הרגשת ניצחון שאין כמותה ולא הייתה כמותה בלילה האחרון כשהיינו בצימר קנינו בשר ואלכוהול וחגגנו הניצחון האדיר בללכת שבעים קילומטר לכנרת חגגנו רוב הלילה שתינו המון וכשהתעוררנו ארזנו התיקים ונסענו הביתה אני מתכנן לעשות המסע ומסעות אחרים שוב אומנם מאוד קשים אבל מביאים הרגשת שלווה שאי אפשר להשיג בשום מקום אחר בחיים לסיכום אני ממליץ לכל אחד לעשות המסע הזה באמת מסע קסום שלא תצטערו עליו אומנם הוא קשה אבל כשתגיעו לסוף אתם תרגישו הרגשה מטורפת שלא תעזוב אתכם להמון זמן,m
8,"לפני מספר חודשים ביום שמש בהיר קמתי בבוקר למה שהייתי בטוח שיהיה עוד יום שגרתי צחצחתי שיניים התארגנתי הכנתי ארוחת בוקר ותוך כדי שאני אוכל אחי ואמר ""יאללה תשים עליך משהו ונצא"" ""נצא לאן"" שאלתי והוא ענה ""הפתעה"" היה מוזר אבל זרמתי היה שבוע בערך אחרי היום הולדת שלי הבנתי שזה כנראה קשור נכנסו לרכב והתחלנו בנסיעה שעה בערך הנסיעה ניסיתי להבין במה מדובר אבל הוא היה מוכן לגלות שהגענו למקום וראיתי מסלול ההמראה והמטוסים הקלים הבנתי כנראה במה מדובר צניחה חופשית אחרי התארגנות ותדרוך קצרצר הנחו אותנו והסבירו לנו לפרטים עלנו לעשות שמנו עלינו הסרבלים ואת שאר הציוד ועלינו המטוס המטוס היה מטוס קטנטן ועלינו עליו בערך חמישה זוגות המטוס המריא ואחרי בערך דקות טיסה הגענו לגובה אלף רגל ואז הגיעה הרגע לקפוץ ההתרגשות בשיא מרוב הלחץ לרגע חשבתי פעמיים לעשות אבל ידעתי שאני אתחרט אעשה החלטתי ללכת הזוג הראשון קפץ תוך רגע נעלמים מהעיניים זוג שני קפץ ואז הגיע תורנו התקרבנו לדלת המטוס מרגיש קצת הזוי להיות בגובה כזה לראות הנוף ולהבין שאתה צריך לצאת מהמטוס המדריך ספר ולקפוץ קפצנו מהמטוס והתחלנו בנפילה חופשית ההרגשה הייתה מטורפת הבטן נדבקת לגב הרוח בפנים והנוף היה מדהים הידיים פרושות לצדדים ואתה מרגיש חופשי יחד איתנו קפץ צלם שתיעד הכל אחרי בערך דקה נפילה חופשית המצנח נפתח ונשארנו להתבונן בנוף המדהים מהאוויר רואים כמעט מישור החוף אחרי צניחה רגועה עוד דקות בערך באוויר הגענו לקרקע בנחיתה חשוב לקפל הברכיים כדי לשבור אותם בטעות נחתנו בבטחה הפה היה עוד יבש והאדרנלין היה בשיא קשה לתאר במילים כמה החוויה הזאת מטורפת בסיום הודנו למדריך ולצוות וחזרנו הביתה חוויה שלא נשכח",m
9,"אני אדם שנוטה לשתף בחייו האישיים אבל אולי אוכל לחסוך עוגמת הנפש לאורחים נוספים שמגיעים ומשלמים ממיטב כספם בכדי להנות משהייה במלון טוב בארץאני אתחיל מההתחלה אני וארוסי סגרנו לחג פסח שני במלון רויאל ביץ אילת כמונו סגרו עוד כמה זוגות חברים חשוב לציין אני מתארח קבוע במלון ויש חוג שמש במשך שנים שבכל חופשה שלי באילת אני מתארח באותו מלון ומעולם עברתי שום דבר דומה לכך החדרים שריינו חודשיים לפניי שכמו שידוע לכולכם המחירים היו מוזלים יותר מאשר לסגור יום לפניי פסח הרי לפניי חודשיים ידענו איפה הסגר עומד ואם בכלל יהיה ניתן לסוע לכן בתי המלון הוזילו המחירים לאחר שמנהלת הקבלה במלון ראתה ההזמנה שלנו ואת העלויות שלה החליטה לחייג אליי ולהסביר בעצם בדרך מאוד מוזרה ואני בטוחה שלא חוקית מדוע ניתן לתת לנו המחירים האלו ניסיתי לגלות הבנה בנוגע למאורע והגעתי איתה להסכמה שאת החדרים שסגרנו בעלות היא תעלה לנו שימו החדרים סגרנו דרך אתר ישרוטל ההזמנה קיבלנו אישור הזמנה שבתוך אישור ההזמנה כמובן מצוינות העלויות שתואמו מולנו בחרנו להתעמת המנהלת בכדי להשאיר המחיר שעליו סגרנו מנת שהחופשה תהיה יותר נעימה עבור כולנו הפיתרון הפשוט היה להסכים איתה בכדי למנוע נעימויות לטפל בזה ישירות מול שירות הלקוחות ישרוטל הרי מדובר ברשת קטנה שאמורה להתנהל לפי חוק הגנת הצרכן וכך היה סיימנו שיחתנו מנהלת הקבלה וישירות חייגנו לשירות לקוחות ישרוטל השיחה שירות הלקוחות ישרוטל העברנו בנעימות ובהבנה ברור לשתי הצדדים שכמו שחוק הגנת הצרכן אומר יהיה במידה וסגרתי דיל כלשהו מול מלון ואכן קיבלתי אישור הזמנה אין למלון האופציה לשנות המחיר בהתבסס כלום וכך התחילה החופשה המהנה שלנו שכולה הייתה התעסקות מיותרת בלקבל שמגיע לנו הגענו למלון כמו שתוכנן וכמו הדיל שסגרנו מנת להתחיל החופשה ולהפתעתנו בעת הקבלה שלנו למלון מנהלת הקבלה מחכה לנו בקוצר רוח טענה שלצערה שסוכם מול שירות הלקוחות בוטל בהתבסס שזה שוב חשוב לציין שקיבלנו אישור הזמנה התאריכים הללו בהמשך לטענתה אמרה רויטל ""אם מתאים לכם המחיר אתם יותר ממוזמנים לקחת המזוודות שלכם ולעזוב המלון שלנו"" אנחנו שהשקענו הרבה מאמצים בהכנה והגעה לאילת בחרנו להנות מהחופשה במקום לתת לזה להשפיע עלינו מיותר לציין שכל ההתנהלות מולה בצורת דיבור וסגנון ההתנהלות שלה מולנו מתנשא ואפילו מבזה מדובר בעבירה החוק אנחנו חיים במדינת חוק שאמור להקנה לנו ביטחון במקום אנחנו חיים חוק הגנת הצרכן אומר שבמידה ורכשת משהו בעלות מסוימת אין אפשרות לדרוש עליו יותר ממחירו לאחר קנייתו לאחר שהשקענו תסכול ומאמצים בלהגיע לאיזה שהו גורם סמכותי במלון לדוגמא המנכל חיים כהן שאין שום דרך צורה להגיע אליו הניסיונות שביצענו ללא הצלחה פשוט ויתרנו פיצו החברים שלי בארוחת ערב במלון וכך ניסו להשתיק הסיפור",f
